country_name,country_code,region,income_group,secondary_edu_population
Lithuania,LTU,Europe & Central Asia,High income: nonOECD,243158
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,240303
Botswana,BWA,Sub-Saharan Africa,Upper middle income,219472
"Macedonia, FYR",MKD,Europe & Central Asia,Upper middle income,213089
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,168455
Swaziland,SWZ,Sub-Saharan Africa,Lower middle income,146326
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,134810
Slovenia,SVN,Europe & Central Asia,High income: OECD,129441
Djibouti,DJI,Middle East & North Africa,Lower middle income,126374
Comoros,COM,Sub-Saharan Africa,Low income,118640
Fiji,FJI,East Asia & Pacific,Upper middle income,108528
Qatar,QAT,Middle East & North Africa,High income: nonOECD,104820
Equatorial Guinea,GNQ,Sub-Saharan Africa,High income: nonOECD,101550
Latvia,LVA,Europe & Central Asia,High income: nonOECD,98551
Guyana,GUY,Latin America & Caribbean,Lower middle income,96971
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,92516
Bahrain,BHR,Middle East & North Africa,High income: nonOECD,90525
Bhutan,BTN,South Asia,Lower middle income,87051
Trinidad and Tobago,TTO,Latin America & Caribbean,High income: nonOECD,86807
Estonia,EST,Europe & Central Asia,High income: OECD,67643
Suriname,SUR,Latin America & Caribbean,Upper middle income,67438
Montenegro,MNE,Europe & Central Asia,Upper middle income,66972
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,63141
Cyprus,CYP,Europe & Central Asia,High income: nonOECD,57288
Brunei Darussalam,BRN,East Asia & Pacific,High income: nonOECD,49177
Belize,BLZ,Latin America & Caribbean,Upper middle income,46856
Luxembourg,LUX,Europe & Central Asia,High income: OECD,46127
Vanuatu,VUT,East Asia & Pacific,Lower middle income,37522
"Bahamas, The",BHS,Latin America & Caribbean,High income: nonOECD,32716
"Macao SAR, China",MAC,East Asia & Pacific,High income: nonOECD,31186
Malta,MLT,Middle East & North Africa,High income: nonOECD,31048
Iceland,ISL,Europe & Central Asia,High income: OECD,31012
Maldives,MDV,South Asia,Upper middle income,30695
Samoa,WSM,East Asia & Pacific,Lower middle income,30597
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,26046
Barbados,BRB,Latin America & Caribbean,High income: nonOECD,18935
Tonga,TON,East Asia & Pacific,Upper middle income,16904
Kiribati,KIR,East Asia & Pacific,Lower middle income,15887
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,15579
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,15521
Curacao,CUW,Latin America & Caribbean,High income: nonOECD,12137
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,9664
Grenada,GRD,Latin America & Caribbean,Upper middle income,9386
Seychelles,SYC,Sub-Saharan Africa,Upper middle income,9061
Antigua and Barbuda,ATG,Latin America & Caribbean,High income: nonOECD,7836
Aruba,ABW,Latin America & Caribbean,High income: nonOECD,7408
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,7119
Bermuda,BMU,North America,High income: nonOECD,5647
Dominica,DMA,Latin America & Caribbean,Upper middle income,5534
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income: nonOECD,4777
Liechtenstein,LIE,Europe & Central Asia,High income: nonOECD,2884
Tuvalu,TUV,East Asia & Pacific,Upper middle income,1496
Palau,PLW,East Asia & Pacific,Upper middle income,1403
