id,name,rating,address,city,lat,long
281,teaspoon-santa-clara-7,4,3450 El Camino Real,Santa Clara,373.519.877.135.188,-121991230201809
282,beastea-santa-clara,4,2785 El Camino Real,Santa Clara,3.735.297,-12197705
284,tea-annie-mountain-view,4,1712 Miramonte Ave,Mountain View,373.723,-12208801
288,matcha-love-san-jose-6,4,675 Saratoga Ave,San Jose,3.731.496.320.599,-121978095221495
290,icicles-cupertino,4,19622 Stevens Creek Blvd,Cupertino,373.225.177.360.044,-122017925500033
298,butterfly-santa-clara,4,1000 Lafayette St,Santa Clara,373.503.116,-1219438457
300,california-mochi-santa-clara-4,4,3030 El Camino Real,Santa Clara,373.517.723.083.496,-12198119354248
301,t4-livermore-livermore-2,4,4010 E Ave,Livermore,3.768.077,-121748039999999
303,big-fat-straw-cafe-livermore-2,4,980 Murrieta Blvd,Livermore,376.761.474.995.967,-121785110675949
304,donut-wheel-livermore,4,2017 1st St,Livermore,376.807.479.858.397,-121770835876465
306,saigon-cafe-livermore,4,2011 2nd St,Livermore,3768,-12177058
308,menchies-frozen-yogurt-livermore,4,973 E Stanley Blvd,Livermore,376.783.516,-121784120699999
309,la-farfalla-bakery-fremont,4,39947 Mission Blvd,Fremont,375.566.932.750.951,-121952448293212
310,ice3-creamery-fremont,4,39957 Mission Blvd,Fremont,37.556.529,-121952556
311,yogurt-shop-danville,4,3450 Camino Tassajara Rd,Danville,377.986.554,-121918740599999
312,bean-scene-cafe-fremont-2,4,4000 Bay St,Fremont,375.327.289.999.999,-12195934
313,yogurtland-san-ramon,4,152 Sunset Dr,San Ramon,377.624.177.187.681,-121960900202394
320,teaspoon-milpitas,4,201 W Calaveras Blvd,Milpitas,3.742.868,-121911319999999
323,bcute-tea-drinks-and-finger-foods-milpitas-2,4,200 Serra Way,Milpitas,374.264.901.499.098,-121909996320473
325,happy-lemon-milpitas-6,4,279 W Calaveras Blvd,Milpitas,374.274.706.596.526,-12191078242325
326,yummi-tea-cafe-san-jose-3,4,2191 Morrill Ave,San Jose,37.414.925,-121875899
332,the-pennywort-san-jose-5,4,2056 N Capitol Ave,San Jose,3.740.685,-12188672
333,bambu-san-jose-9,4,1688 Hostetter Rd,San Jose,373.862.088.776.267,-121884416049074
340,shihlin-taiwan-street-snacks-milpitas,4,522 Barber Ln,Milpitas,37.420.773,-121916405
343,aroma-coffee-and-snacks-milpitas,4,1535 Landess Ave,Milpitas,374.168.459.526.991,-121876774057745
344,teatime-redwood-city,4,1003 El Camino Real,Redwood City,374.846.042.071.457,-122232427139501
